frame,label,confidence,distance_m,direction,placeholder
354,fire_placeholder,0.05,24.14,front-right,True
354,fire_placeholder,0.05,29.17,front-left,True
355,person,0.446,6.57,front-left,False
355,person,0.437,10.3,front-right,False
355,fire_placeholder,0.05,7.37,front-right,True
355,fire_placeholder,0.05,14.0,front-right,True
355,fire_placeholder,0.05,21.21,front-right,True
355,fire_placeholder,0.05,17.07,front-left,True
355,fire_placeholder,0.05,11.86,front-left,True
356,fire_placeholder,0.05,20.59,front-right,True
356,fire_placeholder,0.05,17.95,front-left,True
360,fire_placeholder,0.05,11.11,front-left,True
360,fire_placeholder,0.064,8.43,front-right,True
361,fire_placeholder,0.05,7.95,front-left,True
361,fire_placeholder,0.107,5.34,front-right,True
362,fire_placeholder,0.05,7.95,front-left,True
362,fire_placeholder,0.107,5.34,front-right,True
363,fire_placeholder,0.05,16.67,front-left,True
363,fire_placeholder,0.05,14.58,front-left,True
363,fire_placeholder,0.054,6.19,front-right,True
364,fire_placeholder,0.05,17.5,front-left,True
364,fire_placeholder,0.05,11.67,front-right,True
364,fire_placeholder,0.05,21.21,front-left,True
364,fire_placeholder,0.05,13.21,front-right,True
365,fire_placeholder,0.05,12.5,front-left,True
365,fire_placeholder,0.05,9.21,front-right,True
366,fire_placeholder,0.05,16.67,front-right,True
366,fire_placeholder,0.05,17.95,front-left,True
366,fire_placeholder,0.05,7.69,front-left,True
366,fire_placeholder,0.05,18.42,front-right,True
366,fire_placeholder,0.05,12.5,front-right,True
366,fire_placeholder,0.05,12.73,front,True
366,fire_placeholder,0.05,11.29,front-left,True
366,fire_placeholder,0.05,12.28,front-left,True
367,fire_placeholder,0.05,16.67,front-right,True
367,fire_placeholder,0.05,17.95,front-left,True
367,fire_placeholder,0.05,7.69,front-left,True
367,fire_placeholder,0.05,18.42,front-right,True
367,fire_placeholder,0.05,12.5,front-right,True
367,fire_placeholder,0.05,12.73,front,True
367,fire_placeholder,0.05,11.29,front-left,True
367,fire_placeholder,0.05,12.28,front-left,True
368,backpack,0.381,8.25,front-left,False
368,backpack,0.355,7.58,front-right,False
368,fire_placeholder,0.05,18.92,front-left,True
368,fire_placeholder,0.05,10.61,front-left,True
369,backpack,0.441,8.17,front-left,False
369,fire_placeholder,0.05,19.44,front-left,True
369,fire_placeholder,0.05,12.96,front-left,True
370,backpack,0.449,8.06,front-left,False
370,fire_placeholder,0.05,16.67,front-right,True
370,fire_placeholder,0.05,19.44,front-left,True
370,fire_placeholder,0.05,17.07,front-left,True
371,person,0.674,3.17,front-right,False
371,backpack,0.381,8.26,front-left,False
371,fire_placeholder,0.05,17.5,front-right,True
372,fire_placeholder,0.05,15.56,front-right,True
373,fire_placeholder,0.05,11.11,front-right,True
374,fire_placeholder,0.05,25.0,front-left,True
374,fire_placeholder,0.05,10.94,front-right,True
374,fire_placeholder,0.05,19.44,front-left,True
375,person,0.556,3.2,front-right,False
375,fire_placeholder,0.05,24.14,front-left,True
375,fire_placeholder,0.05,13.46,front-right,True
375,fire_placeholder,0.05,12.28,front-left,True
376,person,0.785,3.17,front-right,False
376,fire_placeholder,0.05,25.0,front-left,True
376,fire_placeholder,0.05,18.92,front-left,True
376,fire_placeholder,0.05,10.45,front-left,True
377,person,0.762,3.18,front-right,False
377,fire_placeholder,0.05,23.33,front-left,True
377,fire_placeholder,0.05,18.92,front-left,True
377,fire_placeholder,0.05,10.45,front-left,True
378,person,0.706,3.16,front-right,False
378,person,0.353,3.14,front,False
378,fire_placeholder,0.05,22.58,front-left,True
378,fire_placeholder,0.05,18.42,front-left,True
378,fire_placeholder,0.05,8.24,front-right,True
378,fire_placeholder,0.056,6.19,front-left,True
378,fire_placeholder,0.05,23.33,front-left,True
378,fire_placeholder,0.05,11.67,front-right,True
379,person,0.706,3.16,front-right,False
379,person,0.353,3.14,front,False
379,fire_placeholder,0.05,22.58,front-left,True
379,fire_placeholder,0.05,18.42,front-left,True
379,fire_placeholder,0.05,8.24,front-right,True
379,fire_placeholder,0.056,6.19,front-left,True
379,fire_placeholder,0.05,23.33,front-left,True
379,fire_placeholder,0.05,11.67,front-right,True
380,person,0.71,3.18,front-right,False
380,person,0.678,3.16,front-right,False
380,fire_placeholder,0.05,23.33,front-left,True
380,fire_placeholder,0.05,18.42,front-left,True
380,fire_placeholder,0.05,8.24,front-right,True
380,fire_placeholder,0.05,19.44,front-right,True
380,fire_placeholder,0.052,6.14,front-left,True
380,fire_placeholder,0.05,24.14,front-left,True
381,person,0.772,3.18,front-right,False
381,person,0.713,3.15,front-right,False
381,fire_placeholder,0.05,24.14,front-left,True
381,fire_placeholder,0.05,18.42,front-left,True
381,fire_placeholder,0.05,8.24,front-right,True
381,fire_placeholder,0.05,21.21,front-right,True
381,fire_placeholder,0.052,6.31,front-left,True
381,fire_placeholder,0.05,22.58,front-left,True
382,person,0.81,3.17,front-right,False
382,fire_placeholder,0.05,30.43,front-left,True
382,fire_placeholder,0.05,8.14,front-right,True
382,fire_placeholder,0.05,33.33,front-left,True
382,fire_placeholder,0.05,12.96,front,True
382,fire_placeholder,0.05,21.88,front-right,True
382,fire_placeholder,0.05,6.8,front-left,True
382,fire_placeholder,0.05,12.07,front-left,True
383,person,0.666,3.15,front-right,False
383,fire_placeholder,0.05,29.17,front-left,True
383,fire_placeholder,0.05,8.14,front-right,True
383,fire_placeholder,0.05,33.33,front-left,True
383,fire_placeholder,0.05,21.88,front-right,True
383,fire_placeholder,0.05,6.8,front-left,True
383,fire_placeholder,0.05,12.07,front-left,True
